,$LINK:NO,FROMNODENO,TONODENO,FROMNODE\WKTLOCWGS84,TONODE\WKTLOCWGS84,From_Coords,To_Coords,Orig_Long,Orig_Lat,Dest_Long,Dest_Lat,Origins,Destinations,Response
148,100077,267662,269751,POINT(-0.13350 51.52810),POINT(-0.05970 51.58810),-0.13350 51.52810,-0.05970 51.58810,-0.1335,51.5281,-0.0597,51.5881,51.5281%2C-0.1335,51.5881%2C-0.0597,"{
   ""destination_addresses"" : [ ""Tottenham Hale, London N17 9NA, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""9.7 km"",
                  ""value"" : 9663
               },
               ""duration"" : {
                  ""text"" : ""14 mins"",
                  ""value"" : 827
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
149,100077,269751,267662,POINT(-0.05970 51.58810),POINT(-0.13350 51.52810),-0.05970 51.58810,-0.13350 51.52810,-0.0597,51.5881,-0.1335,51.5281,51.5881%2C-0.0597,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""Tottenham Hale, London N17 9NA, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""9.7 km"",
                  ""value"" : 9719
               },
               ""duration"" : {
                  ""text"" : ""15 mins"",
                  ""value"" : 871
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
150,100078,267252,267662,POINT(-0.14370 51.49510),POINT(-0.13350 51.52810),-0.14370 51.49510,-0.13350 51.52810,-0.1437,51.4951,-0.1335,51.5281,51.4951%2C-0.1437,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""Victoria Station, London SW1, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.5 km"",
                  ""value"" : 4473
               },
               ""duration"" : {
                  ""text"" : ""12 mins"",
                  ""value"" : 726
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
151,100078,267662,267252,POINT(-0.13350 51.52810),POINT(-0.14370 51.49510),-0.13350 51.52810,-0.14370 51.49510,-0.1335,51.5281,-0.1437,51.4951,51.5281%2C-0.1335,51.4951%2C-0.1437,"{
   ""destination_addresses"" : [ ""Victoria Station, London SW1, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.5 km"",
                  ""value"" : 4527
               },
               ""duration"" : {
                  ""text"" : ""13 mins"",
                  ""value"" : 786
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
152,100079,267662,267994,POINT(-0.13350 51.52810),POINT(-0.12310 51.48620),-0.13350 51.52810,-0.12310 51.48620,-0.1335,51.5281,-0.1231,51.4862,51.5281%2C-0.1335,51.4862%2C-0.1231,"{
   ""destination_addresses"" : [ ""Vauxhall station, London SW8, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""6.2 km"",
                  ""value"" : 6221
               },
               ""duration"" : {
                  ""text"" : ""15 mins"",
                  ""value"" : 889
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
153,100079,267994,267662,POINT(-0.12310 51.48620),POINT(-0.13350 51.52810),-0.12310 51.48620,-0.13350 51.52810,-0.1231,51.4862,-0.1335,51.5281,51.4862%2C-0.1231,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""Vauxhall station, London SW8, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""6.2 km"",
                  ""value"" : 6162
               },
               ""duration"" : {
                  ""text"" : ""15 mins"",
                  ""value"" : 888
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
154,100080,267662,268311,POINT(-0.13350 51.52810),POINT(-0.11340 51.50330),-0.13350 51.52810,-0.11340 51.50330,-0.1335,51.5281,-0.1134,51.5033,51.5281%2C-0.1335,51.5033%2C-0.1134,"{
   ""destination_addresses"" : [ ""12 Lower Rd, London SE1 8SE, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""3.9 km"",
                  ""value"" : 3880
               },
               ""duration"" : {
                  ""text"" : ""13 mins"",
                  ""value"" : 773
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
155,100080,268311,267662,POINT(-0.11340 51.50330),POINT(-0.13350 51.52810),-0.11340 51.50330,-0.13350 51.52810,-0.1134,51.5033,-0.1335,51.5281,51.5033%2C-0.1134,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""12 Lower Rd, London SE1 8SE, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""3.9 km"",
                  ""value"" : 3881
               },
               ""duration"" : {
                  ""text"" : ""12 mins"",
                  ""value"" : 734
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
156,100081,267662,270630,POINT(-0.13350 51.52810),POINT(-0.02010 51.58300),-0.13350 51.52810,-0.02010 51.58300,-0.1335,51.5281,-0.0201,51.583,51.5281%2C-0.1335,51.583%2C-0.0201,"{
   ""destination_addresses"" : [ ""17490 Selborne Rd, London E17 7LP, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""12.5 km"",
                  ""value"" : 12478
               },
               ""duration"" : {
                  ""text"" : ""18 mins"",
                  ""value"" : 1077
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
157,100081,270630,267662,POINT(-0.02010 51.58300),POINT(-0.13350 51.52810),-0.02010 51.58300,-0.13350 51.52810,-0.0201,51.583,-0.1335,51.5281,51.583%2C-0.0201,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""17490 Selborne Rd, London E17 7LP, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""12.5 km"",
                  ""value"" : 12534
               },
               ""duration"" : {
                  ""text"" : ""18 mins"",
                  ""value"" : 1077
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
158,100082,223865,223896,POINT(-3.79100 55.99130),POINT(-3.78400 56.00220),-3.79100 55.99130,-3.78400 56.00220,-3.791,55.9913,-3.784,56.0022,55.9913%2C-3.791,56.0022%2C-3.784,"{
   ""destination_addresses"" : [ ""Grahams Rd, Falkirk FK1 1HS, UK"" ],
   ""origin_addresses"" : [ ""Falkirk High Station, Falkirk FK1, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.3 km"",
                  ""value"" : 2270
               },
               ""duration"" : {
                  ""text"" : ""17 mins"",
                  ""value"" : 1033
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
159,100082,223896,223865,POINT(-3.78400 56.00220),POINT(-3.79100 55.99130),-3.78400 56.00220,-3.79100 55.99130,-3.784,56.0022,-3.791,55.9913,56.0022%2C-3.784,55.9913%2C-3.791,"{
   ""destination_addresses"" : [ ""Falkirk High Station, Falkirk FK1, UK"" ],
   ""origin_addresses"" : [ ""Grahams Rd, Falkirk FK1 1HS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.1 km"",
                  ""value"" : 2061
               },
               ""duration"" : {
                  ""text"" : ""19 mins"",
                  ""value"" : 1142
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
160,100083,257719,257822,POINT(-0.75700 51.29670),POINT(-0.74280 51.30200),-0.75700 51.29670,-0.74280 51.30200,-0.757,51.2967,-0.7428,51.302,51.2967%2C-0.757,51.302%2C-0.7428,"{
   ""destination_addresses"" : [ ""Farnborough North, Farnborough GU14 8AQ, UK"" ],
   ""origin_addresses"" : [ ""14 Queen Victoria Ct, Farnborough GU14 8AR, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.3 km"",
                  ""value"" : 1306
               },
               ""duration"" : {
                  ""text"" : ""16 mins"",
                  ""value"" : 953
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
161,100083,257822,257719,POINT(-0.74280 51.30200),POINT(-0.75700 51.29670),-0.74280 51.30200,-0.75700 51.29670,-0.7428,51.302,-0.757,51.2967,51.302%2C-0.7428,51.2967%2C-0.757,"{
   ""destination_addresses"" : [ ""14 Queen Victoria Ct, Farnborough GU14 8AR, UK"" ],
   ""origin_addresses"" : [ ""Farnborough North, Farnborough GU14 8AQ, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""1.3 km"",
                  ""value"" : 1306
               },
               ""duration"" : {
                  ""text"" : ""16 mins"",
                  ""value"" : 971
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
162,100084,271561,271623,POINT(0.02490 51.54950),POINT(0.02860 51.55170),0.02490 51.54950,0.02860 51.55170,0.0249,51.5495,0.0286,51.5517,51.5495%2C0.0249,51.5517%2C0.0286,"{
   ""destination_addresses"" : [ ""433 Railway Arch, London E7 0LB, UK"" ],
   ""origin_addresses"" : [ ""66A Woodgrange Rd, London E7 0QH, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""0.4 km"",
                  ""value"" : 438
               },
               ""duration"" : {
                  ""text"" : ""5 mins"",
                  ""value"" : 316
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
163,100084,271623,271561,POINT(0.02860 51.55170),POINT(0.02490 51.54950),0.02860 51.55170,0.02490 51.54950,0.0286,51.5517,0.0249,51.5495,51.5517%2C0.0286,51.5495%2C0.0249,"{
   ""destination_addresses"" : [ ""66A Woodgrange Rd, London E7 0QH, UK"" ],
   ""origin_addresses"" : [ ""433 Railway Arch, London E7 0LB, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""0.4 km"",
                  ""value"" : 438
               },
               ""duration"" : {
                  ""text"" : ""5 mins"",
                  ""value"" : 325
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
164,100085,267662,268599,POINT(-0.13350 51.52810),POINT(-0.10620 51.56440),-0.13350 51.52810,-0.10620 51.56440,-0.1335,51.5281,-0.1062,51.5644,51.5281%2C-0.1335,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""5.5 km"",
                  ""value"" : 5519
               },
               ""duration"" : {
                  ""text"" : ""8 mins"",
                  ""value"" : 498
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
165,100085,268599,267662,POINT(-0.10620 51.56440),POINT(-0.13350 51.52810),-0.10620 51.56440,-0.13350 51.52810,-0.1062,51.5644,-0.1335,51.5281,51.5644%2C-0.1062,51.5281%2C-0.1335,"{
   ""destination_addresses"" : [ ""Euston, London NW1 2DS, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""5.5 km"",
                  ""value"" : 5482
               },
               ""duration"" : {
                  ""text"" : ""8 mins"",
                  ""value"" : 454
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
166,100086,268599,268706,POINT(-0.10620 51.56440),POINT(-0.10390 51.54610),-0.10620 51.56440,-0.10390 51.54610,-0.1062,51.5644,-0.1039,51.5461,51.5644%2C-0.1062,51.5461%2C-0.1039,"{
   ""destination_addresses"" : [ ""7 Holloway Rd, London N5 1RQ, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.3 km"",
                  ""value"" : 2344
               },
               ""duration"" : {
                  ""text"" : ""5 mins"",
                  ""value"" : 287
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
167,100086,268706,268599,POINT(-0.10390 51.54610),POINT(-0.10620 51.56440),-0.10390 51.54610,-0.10620 51.56440,-0.1039,51.5461,-0.1062,51.5644,51.5461%2C-0.1039,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""7 Holloway Rd, London N5 1RQ, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""2.3 km"",
                  ""value"" : 2325
               },
               ""duration"" : {
                  ""text"" : ""3 mins"",
                  ""value"" : 202
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
168,100087,268599,269471,POINT(-0.10620 51.56440),POINT(-0.07490 51.58230),-0.10620 51.56440,-0.07490 51.58230,-0.1062,51.5644,-0.0749,51.5823,51.5644%2C-0.1062,51.5823%2C-0.0749,"{
   ""destination_addresses"" : [ ""667 Seven Sisters Rd, South Tottenham, London N15 5LA, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""3.5 km"",
                  ""value"" : 3482
               },
               ""duration"" : {
                  ""text"" : ""7 mins"",
                  ""value"" : 437
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
169,100087,269471,268599,POINT(-0.07490 51.58230),POINT(-0.10620 51.56440),-0.07490 51.58230,-0.10620 51.56440,-0.0749,51.5823,-0.1062,51.5644,51.5823%2C-0.0749,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""667 Seven Sisters Rd, South Tottenham, London N15 5LA, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""3.4 km"",
                  ""value"" : 3384
               },
               ""duration"" : {
                  ""text"" : ""7 mins"",
                  ""value"" : 431
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
170,100088,268599,269751,POINT(-0.10620 51.56440),POINT(-0.05970 51.58810),-0.10620 51.56440,-0.05970 51.58810,-0.1062,51.5644,-0.0597,51.5881,51.5644%2C-0.1062,51.5881%2C-0.0597,"{
   ""destination_addresses"" : [ ""Tottenham Hale, London N17 9NA, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.5 km"",
                  ""value"" : 4497
               },
               ""duration"" : {
                  ""text"" : ""7 mins"",
                  ""value"" : 433
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
171,100088,269751,268599,POINT(-0.05970 51.58810),POINT(-0.10620 51.56440),-0.05970 51.58810,-0.10620 51.56440,-0.0597,51.5881,-0.1062,51.5644,51.5881%2C-0.0597,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""Tottenham Hale, London N17 9NA, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.4 km"",
                  ""value"" : 4405
               },
               ""duration"" : {
                  ""text"" : ""7 mins"",
                  ""value"" : 416
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
172,100089,267252,268599,POINT(-0.14370 51.49510),POINT(-0.10620 51.56440),-0.14370 51.49510,-0.10620 51.56440,-0.1437,51.4951,-0.1062,51.5644,51.4951%2C-0.1437,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""Victoria Station, London SW1, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""9.6 km"",
                  ""value"" : 9610
               },
               ""duration"" : {
                  ""text"" : ""19 mins"",
                  ""value"" : 1111
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
173,100089,268599,267252,POINT(-0.10620 51.56440),POINT(-0.14370 51.49510),-0.10620 51.56440,-0.14370 51.49510,-0.1062,51.5644,-0.1437,51.4951,51.5644%2C-0.1062,51.4951%2C-0.1437,"{
   ""destination_addresses"" : [ ""Victoria Station, London SW1, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""9.5 km"",
                  ""value"" : 9518
               },
               ""duration"" : {
                  ""text"" : ""18 mins"",
                  ""value"" : 1066
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
174,100090,268599,270630,POINT(-0.10620 51.56440),POINT(-0.02010 51.58300),-0.10620 51.56440,-0.02010 51.58300,-0.1062,51.5644,-0.0201,51.583,51.5644%2C-0.1062,51.583%2C-0.0201,"{
   ""destination_addresses"" : [ ""17490 Selborne Rd, London E17 7LP, UK"" ],
   ""origin_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""7.3 km"",
                  ""value"" : 7312
               },
               ""duration"" : {
                  ""text"" : ""10 mins"",
                  ""value"" : 623
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
175,100090,270630,268599,POINT(-0.02010 51.58300),POINT(-0.10620 51.56440),-0.02010 51.58300,-0.10620 51.56440,-0.0201,51.583,-0.1062,51.5644,51.583%2C-0.0201,51.5644%2C-0.1062,"{
   ""destination_addresses"" : [ ""Finsbury Park bus station, Finsbury Park, London N4, UK"" ],
   ""origin_addresses"" : [ ""17490 Selborne Rd, London E17 7LP, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""7.2 km"",
                  ""value"" : 7219
               },
               ""duration"" : {
                  ""text"" : ""10 mins"",
                  ""value"" : 622
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
176,100091,267983,269459,POINT(-0.12310 51.53080),POINT(-0.07540 51.51160),-0.12310 51.53080,-0.07540 51.51160,-0.1231,51.5308,-0.0754,51.5116,51.5308%2C-0.1231,51.5116%2C-0.0754,"{
   ""destination_addresses"" : [ ""121 Minories, London EC3N 1DR, UK"" ],
   ""origin_addresses"" : [ ""1 York Way, London N1C 4AX, UK"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""4.6 km"",
                  ""value"" : 4623
               },
               ""duration"" : {
                  ""text"" : ""21 mins"",
                  ""value"" : 1261
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
"
